country,trade.balance,exports,imports,report.date,trade.status
Solomon Islands,-2100000,6600000,8700000,12/31/2014,Bad
Somalia,35200000,35700000,5.00E+05,12/31/2014,Great
South Africa,-1948100000,6369700000,8317800000,12/31/2014,Bad
South Sudan,46500000,46600000,1.00E+05,12/31/2014,Great
Spain,-4215900000,10200300000,14416200000,12/31/2014,Bad
Sri Lanka,-2325700000,350300000,2.68E+09,12/31/2014,Bad
St Helena,-8600000,5.00E+05,9100000,12/31/2014,Bad
St Kitts and Nevis,128700000,184600000,55900000,12/31/2014,Great
St Lucia,675500000,693800000,18300000,12/31/2014,Great
St Pierre and Miquelon,0,0,0,12/31/2014,None
St Vincent and the Grenadines,102200000,103600000,1400000,12/31/2014,Great
Sudan,65300000,77200000,11900000,12/31/2014,Great
Suriname,6.60E+07,518600000,452600000,12/31/2014,Good
"Svalbard, Jan Mayen Island",3400000,3400000,0,12/31/2014,Good
Swaziland,-55800000,25700000,81500000,12/31/2014,Bad
Sweden,-5926300000,4.34E+09,10266300000,12/31/2014,Bad
Switzerland,-9014700000,22175900000,31190600000,12/31/2014,Bad
Syria,-5600000,6800000,12400000,12/31/2014,Bad
Taiwan,-13911300000,26670200000,40581500000,12/31/2014,Bad
Tajikistan,20900000,24500000,3600000,12/31/2014,Great
Tanzania,216100000,302200000,86100000,12/31/2014,Great
Thailand,-15312800000,11809800000,27122600000,12/31/2014,Bad
Timor-Leste,1100000,1300000,2.00E+05,12/31/2014,Great
Togo,1015600000,1024700000,9100000,12/31/2014,Great
Tokelau,5.00E+05,1300000,8.00E+05,12/31/2014,Good
Tonga,17300000,2.00E+07,2700000,12/31/2014,Great
Trinidad and Tobago,-3.58E+09,2.41E+09,6.00E+09,12/31/2014,Bad
Tunisia,310500000,831400000,520900000,12/31/2014,Good
Turkey,4288400000,11645400000,7.36E+09,12/31/2014,Good
Turkmenistan,435300000,455500000,20200000,12/31/2014,Great
Turks and Caicos Islands,273600000,281900000,8300000,12/31/2014,Great
Tuvalu,5.00E+05,6.00E+05,1.00E+05,12/31/2014,Great
Uganda,32400000,78300000,45900000,12/31/2014,Good
Ukraine,305800000,1239800000,9.34E+08,12/31/2014,Good
United Arab Emirates,19255100000,22069300000,2814200000,12/31/2014,Great
United Kingdom,-568900000,53823400000,54392300000,12/31/2014,Bad
Uruguay,1149500000,1605800000,456300000,12/31/2014,Great
Uzbekistan,198500000,212900000,14400000,12/31/2014,Great
Vanuatu,14100000,21200000,7100000,12/31/2014,Great
Vatican City,1800000,2600000,8.00E+05,12/31/2014,Great
Venezuela,-19081500000,11137700000,30219200000,12/31/2014,Bad
Vietnam,-24854100000,5734400000,30588500000,12/31/2014,Bad
Wallis and Futuna,4.00E+05,4.00E+05,0,12/31/2014,Good
West Bank Administered by Israel,-2600000,1800000,4400000,12/31/2014,Bad
Western Sahara,2.00E+05,3.00E+05,1.00E+05,12/31/2014,Great
Yemen,327700000,368900000,41200000,12/31/2014,Great
Zambia,58500000,114100000,55600000,12/31/2014,Great
Zimbabwe,-16200000,48700000,64900000,12/31/2014,Bad
Unidentified,1.00E+05,1.00E+05,0,12/31/2014,Good
