
ANNUAL REVISION FOR 2003

PART B:      NOT SEASONALLY ADJUSTED

EXHIBIT 13.  EXPORTS, IMPORTS AND BALANCE OF GOODS BY SELECTED
             COUNTRIES AND GEOGRAPHIC AREAS, -- ANNUAL 2003

(In millions of dollars. Details may not equal totals due to rounding.
(-) Represents zero or less then half unit of measure.  (X) Not applicable.
 
                                   January - December, Cumulative
 
                                            Trade
              Country                      Balance                 Rank
Sierra Leone                                         21.7                    168
Singapore                                         1,422.4                    222
Slovakia                                           -894.1                     46
Slovenia                                           -344.9                     65
Solomon Islands                                       1.0                    135
Somalia                                               6.8                    150
South Africa                                     -1,805.1                     37
Spain                                              -746.8                     49
Sri Lanka                                        -1,653.3                     40
St Helena                                            -3.3                    109
St Kitts and Nevis                                   14.2                    163
St Lucia                                            106.5                    202
St Pierre and Miquelon                               -2.6                    112
St Vincent and the Grenadines                        42.1                    184
Sudan                                                23.4                    169
Suriname                                             52.6                    189
Svalbard, Jan Mayen Island                            2.9                    142
Swaziland                                          -154.0                     82
Sweden                                           -7,895.8                     18
Switzerland                                      -2,028.9                     33
Syria                                               -32.1                     97
Taiwan                                          -14,151.5                     10
Tajikistan                                           42.6                    185
Tanzania                                             40.5                    182
Thailand                                         -9,343.2                     15
Togo                                                  9.4                    157
Tokelau                                               8.8                    155
Tonga                                                -7.4                    103
Trinidad and Tobago                              -3,270.5                     27
Tunisia                                              68.1                    194
Turkey                                             -888.0                     47
Turkmenistan                                        -42.2                     92
Turks and Caicos Islands                             65.8                    193
Tuvalu                                                0.1                    125
Uganda                                                6.9                    151
Ukraine                                             -31.9                     98
United Arab Emirates                              2,380.2                    226
United Kingdom                                   -8,967.0                     16
Uruguay                                              70.8                    195
Uzbekistan                                          172.5                    210
Vanuatu                                               0.5                    131
Vatican City                                          2.4                    140
Venezuela                                       -14,305.1                      9
Vietnam                                          -3,231.1                     28
Wallis and Futuna                                     0.5                    132
West Bank Administered by Israel                       (-)                   122
Western Sahara                                         (-)                   123
Western Samoa                                         6.1                    148
Zambia                                                7.0                    152
Zimbabwe                                            -14.9                    101
Unidentified                                        185.7                     (X)
North America                                   -92,319.2                     (X)
Western Europe                                 -100,320.3                     (X)
Euro Area                                       -74,071.9                     (X)
European Union (EU)                             -93,095.3                     (X)
European Free Trade Association                  -6,080.5                     (X)
Eastern Europe                                  -11,214.0                     (X)
Former Soviet Republics                          -6,621.5                     (X)
Organization for Economic
  Cooperation & Develop-
  ment (OECD) in Europe                        -100,035.6                     (X)
Pacific Rim Countries                          -230,517.2                     (X)
Asia -- Near East                               -22,107.9                     (X)
Asia -- (NICS)                                  -21,216.6                     (X)
Asia -- South                                   -13,415.3                     (X)
Assoc. of South East Asia
  Nations (ASEAN)                               -36,605.8                     (X)
APEC                                           -341,980.7                     (X)
South/Central America                           -26,882.8                     (X)
Twenty Latin American Republics                 -67,215.2                     (X)
Central American Common Market                   -1,587.5                     (X)
Latin American Free Trade
  Association                                   -67,491.1                     (X)
North Atlantic Treaty Organization
  (NATO) Allies                                -147,093.7                     (X)
Organization of Petroleum Exporting
  Countries (OPEC)                              -51,064.5                     (X)
Unidentified                                        185.7                     (X)
____________________________________
 
 
              Country                  Exports f.a.s.              Rank
 
 
Total, BOP Basis                                713,122.3                     (X)
Net Adjustments                                 -11,648.7                     (X)
Total, Census Basis                             724,771.0                     (X)
 
Afghanistan                                          60.8                    130
Albania                                               9.7                    182
Algeria                                             487.4                     68
Andorra                                               8.2                    185
Angola                                              490.6                     67
Anguilla                                             21.5                    167
Antigua and Barbuda                                 127.3                    107
Argentina                                         2,437.3                     40
Armenia                                             102.8                    114
Aruba                                               355.0                     75
Australia                                        13,087.6                     14
Austria                                           1,768.4                     45
Azerbaijan                                          119.8                    110
Bahamas                                           1,074.7                     54
Bahrain                                             508.4                     64
Bangladesh                                          225.9                     88
Barbados                                            300.1                     82
Belarus                                              84.1                    121
Belgium                                          15,236.1                     12
Belize                                              198.8                     93
Benin                                                30.2                    156
Bermuda                                             401.2                     73
Bhutan                                                1.0                    214
Bolivia                                             182.7                     98
Bosnia-Hercegovina                                   21.2                    168
Botswana                                             25.9                    163
Brazil                                           11,211.0                     15
British Indian Ocean Terr                             3.5                    198
British Virgin Islands                               71.1                    124
Brunei                                               37.5                    144
Bulgaria                                            155.7                    103
Burkina                                              11.0                    180
Burma (Myanmar)                                       6.9                    192
Burundi                                               3.0                    201
Cambodia                                             57.9                    132
Cameroon                                             90.7                    119
Canada                                          169,923.7                      1
Cape Verde                                            9.1                    183
Cayman Islands                                      309.2                     81
Central African Republic                              7.4                    189
Chad                                                 64.4                    127
Chile                                             2,715.0                     35
China                                            28,367.9                      6
Christmas Island                                      1.0                    213
Cocos (Keeling) Island                                0.6                    216
Colombia                                          3,755.8                     27
Comoros                                               0.6                    217
Congo (Brazzaville)                                  78.6                    122
Congo (Kinshasa)                                     30.6                    154
Cook Islands                                          2.1                    206
Costa Rica                                        3,413.5                     29
Cote d'Ivoire                                       102.6                    115
Croatia                                             196.6                     94
Cuba                                                259.1                     84
Cyprus                                              212.1                     90
Czech Republic                                      672.1                     62
Denmark                                           1,547.8                     48
Djibouti                                             31.7                    152
Dominica                                             34.3                    147
Dominican Republic                                4,205.4                     26
East Timor                                            0.5                    220
Ecuador                                           1,446.7                     52
Egypt                                             2,606.7                     36
El Salvador                                       1,820.9                     44
Equatorial Guinea                                   335.7                     76
Eritrea                                              87.1                    120
Estonia                                             120.6                    109
Ethiopia                                            409.1                     71
Falkland Islands                                      1.0                    215
Faroe Islands                                        13.4                    179
Federal Republic of Germany                      28,831.9                      5
Fedrated States of Micronesia                        23.6                    165
Fiji                                                 19.5                    170
Finland                                           1,713.3                     46
France                                           17,053.0                     10
French Guiana                                       155.7                    102
French Polynesia                                     91.5                    118
French Southern and Antarctic Lands                   0.3                    223
Gabon                                                63.0                    128
Gambia                                               26.7                    160
Gaza Strip Administered by Israel                      (-)                   229
Georgia                                             131.0                    106
Ghana                                               209.2                     91
Gibraltar                                            14.0                    178
Greece                                            2,506.5                     38
Greenland                                             3.0                    200
Grenada                                              68.4                    125
Guadeloupe                                           45.7                    139
Guatemala                                         2,263.4                     41
Guinea                                               35.8                    145
Guinea-Bissau                                         1.2                    212
Guyana                                              117.1                    112
Haiti                                               639.4                     63
Heard and McDonald Islands                            0.4                    221
Honduras                                          2,826.2                     33
Hong Kong                                        13,520.5                     13
Hungary                                             933.3                     57
Iceland                                             242.1                     86
India                                             4,979.7                     24
Indonesia                                         2,516.4                     37
Iran                                                 98.9                    117
Iraq                                                309.9                     80
Ireland                                           7,695.7                     20
Israel                                            6,892.1                     21
Italy                                            10,560.6                     17
Jamaica                                           1,469.5                     50
Japan                                            52,004.3                      3
Jordan                                              492.4                     66
Kazakhstan                                          168.2                    100
Kenya                                               196.5                     95
Kiribati                                              1.3                    210
Korea, South                                     24,072.6                      7
Kuwait                                            1,507.3                     49
Kyrgyzstan                                           39.1                    143
Laos                                                  4.7                    197
Latvia                                              123.7                    108
Lebanon                                             314.1                     79
Lesotho                                               5.1                    196
Liberia                                              33.3                    150
Libya                                                 0.2                    224
Liechtenstein                                        15.9                    174
Lithuania                                           162.3                    101
Luxembourg                                          279.1                     83
Macao                                                54.6                    133
Macedonia (Skopje)                                   26.1                    162
Madagascar                                           46.3                    137
Malawi                                               16.6                    172
Malaysia                                         10,914.1                     16
Maldives                                              6.6                    193
Mali                                                 31.4                    153
Malta                                               202.3                     92
Marshall Islands                                     28.2                    158
Martinique                                           21.7                    166
Mauritania                                           34.9                    146
Mauritius                                            32.0                    151
Mayott                                                 (-)                   230
Mexico                                           97,411.8                      2
Moldova                                              25.1                    164
Monaco                                               50.3                    134
Mongolia                                             20.7                    169
Montserrat                                            7.9                    187
Morocco                                             468.5                     70
Mozambique                                           62.1                    129
Namibia                                              28.0                    159
Nauru                                                 1.9                    207
Nepal                                                16.3                    173
Netherlands                                      20,695.0                      8
Netherlands Antilles                                746.9                     61
New Caledonia                                        43.2                    140
New Zealand                                       1,847.7                     43
Nicaragua                                           501.7                     65
Niger                                                33.6                    149
Nigeria                                           1,016.9                     56
Niue                                                  0.1                    227
Norfolk Island                                        0.4                    222
North Korea                                           8.0                    186
Norway                                            1,465.9                     51
Oman                                                322.4                     78
Pakistan                                            843.2                     59
Palau                                                15.8                    175
Panama                                            1,848.7                     42
Papua New Guinea                                     30.3                    155
Paraguay                                            483.7                     69
Peru                                              1,698.5                     47
Philippines                                       7,987.3                     19
Pitcairn Island                                       3.0                    199
Poland                                              758.1                     60
Portugal                                            862.5                     58
Qatar                                               407.5                     72
Republic of Yemen                                   191.4                     97
Reunion                                               2.1                    205
Romania                                             366.9                     74
Russia                                            2,447.2                     39
Rwanda                                                7.9                    188
San Marino                                            6.0                    194
Sao Tome and Principe                                 1.4                    209
Saudi Arabia                                      4,595.7                     25
Senegal                                             101.8                    116
Serbia and Montenegro                                49.9                    136
Seychelles                                            7.2                    190
Sierra Leone                                         28.2                    157
Singapore                                        16,560.2                     11
Slovakia                                            115.2                    113
Slovenia                                            139.5                    105
Solomon Islands                                       1.8                    208
Somalia                                               7.0                    191
South Africa                                      2,819.3                     34
Spain                                             5,929.9                     22
Sri Lanka                                           154.7                    104
St Helena                                             2.3                    204
St Kitts and Nevis                                   58.8                    131
St Lucia                                            119.5                    111
St Pierre and Miquelon                                0.1                    225
St Vincent and the Grenadines                        46.2                    138
Sudan                                                26.2                    161
Suriname                                            192.7                     96
Svalbard, Jan Mayen Island                            2.9                    203
Swaziland                                             8.2                    184
Sweden                                            3,223.4                     30
Switzerland                                       8,656.4                     18
Syria                                               214.0                     89
Taiwan                                           17,447.9                      9
Tajikistan                                           50.0                    135
Tanzania                                             64.7                    126
Thailand                                          5,835.3                     23
Togo                                                 15.2                    176
Tokelau                                              15.2                    177
Tonga                                                 5.7                    195
Trinidad and Tobago                               1,063.3                     55
Tunisia                                             170.5                     99
Turkey                                            2,900.2                     31
Turkmenistan                                         34.2                    148
Turks and Caicos Islands                             71.9                    123
Tuvalu                                                0.1                    226
Uganda                                               41.7                    141
Ukraine                                             230.6                     87
United Arab Emirates                              3,508.3                     28
United Kingdom                                   33,827.9                      4
Uruguay                                             326.5                     77
Uzbekistan                                          256.1                     85
Vanuatu                                               1.3                    211
Vatican City                                          3.0                    202
Venezuela                                         2,831.0                     32
