
ANNUAL REVISION FOR 2002

PART B:      NOT SEASONALLY ADJUSTED

EXHIBIT 13.  EXPORTS, IMPORTS AND BALANCE OF GOODS BY SELECTED
             COUNTRIES AND GEOGRAPHIC AREAS, -- ANNUAL 2002

(In millions of dollars. Details may not equal totals due to rounding.
(-) Represents zero or less then half unit of measure.  (X) Not applicable.
 
                                   January - December, Cumulative
 
                                            Trade
              Country                      Balance                 Rank
 
Total, BOP Basis                               -482,871.8                     (X)
Net Adjustments                                 -14,609.0                     (X)
Total, Census Basis                            -468,262.8                     (X)
 
Afghanistan                                          76.7                    195
Albania                                               9.0                    151
Algeria                                          -1,375.8                     41
Andorra                                              10.2                    154
Angola                                           -2,748.6                     26
Anguilla                                             18.9                    163
Antigua and Barbuda                                  77.8                    196
Argentina                                        -1,601.9                     35
Armenia                                              81.2                    198
Aruba                                              -309.2                     61
Australia                                         6,606.2                    229
Austria                                          -1,387.5                     40
Azerbaijan                                           35.3                    183
Bahamas                                             525.6                    220
Bahrain                                              24.4                    169
Bangladesh                                       -1,865.1                     30
Barbados                                            233.2                    212
Belarus                                            -106.4                     80
Belgium                                           3,519.0                    228
Belize                                               60.0                    190
Benin                                                34.5                    180
Bermuda                                             392.2                    219
Bhutan                                                0.1                    119
Bolivia                                              31.7                    178
Bosnia-Hercegovina                                   16.1                    161
Botswana                                              2.4                    138
Brazil                                           -3,404.6                     25
British Indian Ocean Terr                             0.1                    118
British Virgin Islands                               26.9                    173
Brunei                                             -240.8                     65
Bulgaria                                           -238.3                     66
Burkina                                              15.9                    160
Burma (Myanmar)                                    -346.2                     58
Burundi                                               1.0                    131
Cambodia                                         -1,041.7                     44
Cameroon                                            -16.3                     97
Canada                                          -48,164.9                      3
Cape Verde                                            7.8                    148
Cayman Islands                                      222.8                    211
Central African Republic                              4.4                    142
Chad                                                121.6                    206
Chile                                            -1,175.5                     42
China                                          -103,064.7                      1
Christmas Island                                      0.6                    125
Cocos (Keeling) Island                                0.7                    128
Colombia                                         -2,021.9                     27
Comoros                                              -5.2                    106
Congo (Brazzaville)                                -129.7                     76
Congo (Kinshasa)                                   -175.9                     70
Cook Islands                                         -0.3                    111
Costa Rica                                          -25.3                     93
Croatia                                             -67.5                     87
Cuba                                                145.3                    207
Cyprus                                              167.7                    208
Czech Republic                                     -579.7                     49
Denmark                                          -1,741.4                     32
Djibouti                                             56.7                    189
Dominica                                             40.3                    186
Dominican Republic                                   81.2                    199
 
East Timor                                            0.1                    120
Ecuador                                            -537.8                     50
Egypt                                             1,512.5                    225
El Salvador                                        -318.2                     60
Equatorial Guinea                                  -393.2                     56
Eritrea                                              28.4                    176
Estonia                                             -82.1                     85
Ethiopia                                             34.9                    182
Falkland Islands                                     -5.6                    105
Faroe Islands                                       -10.8                     99
Federal Republic of Germany                     -35,876.1                      5
Fedrated States of Micronesia                        12.0                    156
Fiji                                               -139.4                     74
Finland                                          -1,912.1                     29
France                                           -9,223.9                     13
French Guiana                                       242.3                    213
French Polynesia                                     34.8                    181
French Southern and Antarctic Lands                   0.7                    127
Gabon                                            -1,521.9                     37
Gambia                                                9.2                    152
Gaza Strip Administered by Israel                    -6.9                    104
Georgia                                              81.4                    200
Ghana                                                76.2                    194
Gibraltar                                            24.6                    170
Greece                                              605.6                    221
Greenland                                           -18.6                     94
Grenada                                              49.5                    188
Guadeloupe                                           29.2                    177
Guatemala                                          -751.9                     47
Guinea                                               -8.7                    100
Guinea-Bissau                                         2.5                    139
Guyana                                               12.6                    157
Haiti                                               318.2                    216
Heard and McDonald Islands                            0.1                    117
Honduras                                           -690.3                     48
Hong Kong                                         3,266.1                    227
Hungary                                          -1,949.6                     28
Iceland                                             -77.9                     86
India                                            -7,717.3                     15
Indonesia                                        -7,087.5                     17
Iran                                               -124.5                     77
Iraq                                             -3,516.6                     24
Ireland                                         -15,692.6                      6
Israel                                           -5,389.0                     19
Italy                                           -14,163.5                      7
